"Date/Time","Date/Time","No.1"
"時差:GMT+9:00/夏時間:off","日付のシリアル値(Excel)",""
"","","mV"
"2020-11-19 13:17:01","44154.553483796","0"
"2020-11-19 13:22:01","44154.556956019","0"
"2020-11-19 13:27:00","44154.560416667","0"
"2020-11-19 13:32:01","44154.563900463","0"
"2020-11-19 13:37:01","44154.567372685","12.2"
"2020-11-19 13:42:01","44154.570844907","12.2"
"2020-11-19 13:47:01","44154.57431713","12.1"
"2020-11-19 13:52:01","44154.577789352","12.1"
"2020-11-19 13:57:01","44154.581261574","12.1"
"2020-11-19 14:02:01","44154.584733796","12.2"
"2020-11-19 14:07:01","44154.588206019","12.2"
"2020-11-19 14:12:01","44154.591678241","12.2"
"2020-11-19 14:17:01","44154.595150463","12.2"
"2020-11-19 14:22:01","44154.598622685","12.2"
"2020-11-19 14:27:01","44154.602094907","12.2"
"2020-11-19 14:32:01","44154.60556713","12.2"
"2020-11-19 14:37:01","44154.609039352","12.2"
"2020-11-19 14:42:01","44154.612511574","12.2"
"2020-11-19 14:47:01","44154.615983796","12.2"
"2020-11-19 14:52:01","44154.619456019","12.1"
"2020-11-19 14:57:01","44154.622928241","12.2"
"2020-11-19 15:02:01","44154.626400463","12.2"
"2020-11-19 15:07:01","44154.629872685","12.2"
"2020-11-19 15:12:01","44154.633344907","12.2"
"2020-11-19 15:17:01","44154.63681713","12.2"
"2020-11-19 15:22:01","44154.640289352","12.2"
"2020-11-19 15:27:01","44154.643761574","12.2"
"2020-11-19 15:32:01","44154.647233796","12.2"
"2020-11-19 15:37:01","44154.650706019","12.2"
"2020-11-19 15:42:01","44154.654178241","12.2"
"2020-11-19 15:47:01","44154.657650463","12.2"
"2020-11-19 15:52:01","44154.661122685","12.1"
"2020-11-19 15:57:01","44154.664594907","12.2"
"2020-11-19 16:02:01","44154.66806713","12.2"
"2020-11-19 16:07:01","44154.671539352","12.2"
"2020-11-19 16:12:01","44154.675011574","12.2"
"2020-11-19 16:17:01","44154.678483796","12.2"
"2020-11-19 16:22:01","44154.681956019","12.2"
"2020-11-19 16:27:01","44154.685428241","18.8"
"2020-11-19 16:32:01","44154.688900463","18.4"
"2020-11-19 16:37:01","44154.692372685","18.6"
"2020-11-19 16:42:01","44154.695844907","18.6"
"2020-11-19 16:47:01","44154.69931713","18.5"
"2020-11-19 16:52:01","44154.702789352","18.7"
"2020-11-19 16:57:01","44154.706261574","18.3"
"2020-11-19 17:02:01","44154.709733796","18.5"
"2020-11-19 17:07:01","44154.713206019","25.6"
"2020-11-19 17:12:01","44154.716678241","18.5"
"2020-11-19 17:17:01","44154.720150463","18.7"
"2020-11-19 17:22:01","44154.723622685","18.3"
"2020-11-19 17:27:01","44154.727094907","18.4"
"2020-11-19 17:32:01","44154.73056713","18.5"
"2020-11-19 17:37:01","44154.734039352","18.4"
"2020-11-19 17:42:01","44154.737511574","18.8"
"2020-11-19 17:47:01","44154.740983796","18.2"
"2020-11-19 17:52:01","44154.744456019","18.5"
"2020-11-19 17:57:01","44154.747928241","18.5"
"2020-11-19 18:02:01","44154.751400463","25.8"
"2020-11-19 18:07:01","44154.754872685","18.7"
"2020-11-19 18:12:01","44154.758344907","18.3"
"2020-11-19 18:17:01","44154.76181713","18.4"
